zip,city,state,county,latitude,longitude,10_year_price,5_year_price,current_price,10_year_growth,5_year_growth
33602,Tampa,FL,Hillsborough,27.9614,-82.4597,"176,853.00","288,353.00","433,395.00",1.45,0.50
33603,Tampa,FL,Hillsborough,27.9845,-82.463,"92,996.00","179,576.00","331,276.00",2.56,0.84
33604,Tampa,FL,Hillsborough,28.0173,-82.4578,"73,321.00","141,484.00","271,443.00",2.70,0.92
33605,Tampa,FL,Hillsborough,27.9671,-82.4334,"49,197.00","90,474.00","213,610.00",3.34,1.36
33606,Tampa,FL,Hillsborough,27.9475,-82.4584,"315,994.00","487,080.00","719,312.00",1.28,0.48
33607,Tampa,FL,Hillsborough,27.9625,-82.4895,"82,287.00","153,361.00","297,777.00",2.62,0.94
33609,Tampa,FL,Hillsborough,27.9425,-82.5057,"210,715.00","338,812.00","512,871.00",1.43,0.51
33610,Tampa,FL,Hillsborough,27.9951,-82.4046,"57,424.00","98,918.00","216,671.00",2.77,1.19
33611,Tampa,FL,Hillsborough,27.8914,-82.5067,"164,174.00","254,148.00","390,611.00",1.38,0.54
33612,Tampa,FL,Hillsborough,28.0502,-82.45,"72,274.00","120,961.00","232,360.00",2.22,0.92
33616,Tampa,FL,Hillsborough,27.8742,-82.5203,"135,373.00","209,008.00","334,297.00",1.47,0.60
33629,Tampa,FL,Hillsborough,27.921,-82.5079,"361,774.00","547,980.00","786,186.00",1.17,0.43
33647,Tampa,FL,Hillsborough,28.1147,-82.3678,"201,115.00","270,888.00","383,289.00",0.91,0.41
33175,Miami,FL,Miami-Dade,25.7341,-80.4068,"191,241.00","313,040.00","434,941.00",1.27,0.39
33182,Miami,FL,Miami-Dade,25.7877,-80.4166,"211,789.00","343,441.00","454,209.00",1.14,0.32
33184,Miami,FL,Miami-Dade,25.7574,-80.403,"189,923.00","300,565.00","408,950.00",1.15,0.36
33321,Fort Lauderdale,FL,Broward,26.212,-80.2696,"98,402.00","163,709.00","242,269.00",1.46,0.48
32301,Tallahassee,FL,Leon,30.4286,-84.2593,"110,045.00","114,138.00","159,755.00",0.45,0.40
32303,Tallahassee,FL,Leon,30.4874,-84.3189,"119,844.00","126,312.00","183,848.00",0.53,0.46
32304,Tallahassee,FL,Leon,30.4478,-84.3211,"78,543.00","76,540.00","113,354.00",0.44,0.48
32305,Tallahassee,FL,Leon,30.334,-84.287,"86,942.00","82,801.00","131,959.00",0.52,0.59
32308,Tallahassee,FL,Leon,30.4771,-84.2246,"174,652.00","198,637.00","270,347.00",0.55,0.36
32309,Tallahassee,FL,Leon,30.5422,-84.1413,"205,439.00","234,691.00","316,555.00",0.54,0.35
32310,Tallahassee,FL,Leon,30.3991,-84.3298,"82,154.00","72,919.00","120,407.00",0.47,0.65
32311,Tallahassee,FL,Leon,30.4156,-84.187,"166,628.00","186,527.00","250,885.00",0.51,0.35
32312,Tallahassee,FL,Leon,30.5185,-84.2627,"238,080.00","273,542.00","368,132.00",0.55,0.35
32317,Tallahassee,FL,Leon,30.4651,-84.1128,"213,726.00","242,563.00","330,048.00",0.54,0.36
32692,Suwannee,FL,Dixie,29.3295,-83.14,"119,990.00","143,501.00","172,690.00",0.44,0.20
33322,Fort Lauderdale,FL,Broward,26.1502,-80.2745,"88,639.00","145,295.00","218,010.00",1.46,0.50
33323,Fort Lauderdale,FL,Broward,26.152,-80.3165,"197,845.00","289,686.00","398,728.00",1.02,0.38
33351,Fort Lauderdale,FL,Broward,26.1793,-80.2746,"114,177.00","192,783.00","285,555.00",1.50,0.48
33160,North Miami Beach,FL,Miami-Dade,25.9449,-80.1391,"257,762.00","401,179.00","396,178.00",0.54,-0.01
33573,Sun City Center,FL,Hillsborough,27.7147,-82.3538,"114,082.00","172,375.00","251,143.00",1.20,0.46
33042,Summerland Key,FL,Monroe,24.667,-81.5099,521009,"597,259.00","769,011.00",0.48,0.29
32359,Steinhatchee,FL,Taylor,29.6739,-83.3723,"87,871.00","114,409.00","154,906.00",0.76,0.35
32091,Starke,FL,Bradford,29.9583,-82.1185,"74,775.00","108,517.00","141,746.00",0.90,0.31
33177,Miami,FL,Miami-Dade,25.5968,-80.4046,"142,114.00","252,816.00","380,410.00",1.68,0.50
33760,Clearwater,FL,Pinellas,27.9004,-82.7152,"93,555.00","135,193.00","223,414.00",1.39,0.65
32119,Daytona Beach,FL,Volusia,29.16,-81.0269,"99,244.00","144,221.00","226,016.00",1.28,0.57
33493,South Bay,FL,Palm Beach,26.6701,-80.7312,"98,951.00","97,077.00","127,373.00",0.29,0.31
32776,Sorrento,FL,Lake,28.8035,-81.5323,"153,476.00","223,276.00","340,513.00",1.22,0.53
32358,Sopchoppy,FL,Wakulla,30.0714,-84.4549,"97,249.00","141,998.00","171,551.00",0.76,0.21
32460,Sneads,FL,Jackson,30.7276,-84.9337,"57,255.00","83,896.00","104,778.00",0.83,0.25
34284,Venice,FL,Sarasota,27.1675,-82.381,"468,289.00","612,765.00","770,154.00",0.64,0.26
32579,Shalimar,FL,Okaloosa,30.4456,-86.5717,"192,263.00","226,657.00","350,709.00",0.82,0.55
32190,Seville,FL,Volusia,29.3201,-81.5279,"87,719.00","124,989.00","205,653.00",1.34,0.65
33772,Seminole,FL,Pinellas,27.8466,-82.7954,"117,215.00","178,867.00","304,438.00",1.60,0.70
33776,Seminole,FL,Pinellas,27.8505,-82.8263,"185,625.00","268,156.00","425,128.00",1.29,0.59
33777,Seminole,FL,Pinellas,27.8688,-82.7344,"97,608.00","147,683.00","265,800.00",1.72,0.80
33584,Seffner,FL,Hillsborough,27.9922,-82.2863,"115,710.00","173,794.00","279,869.00",1.42,0.61
33870,Sebring,FL,Highlands,27.4924,-81.4357,"74,926.00","87,731.00","153,177.00",1.04,0.75
33872,Sebring,FL,Highlands,27.4703,-81.4872,"101,858.00","121,277.00","183,900.00",0.81,0.52
33875,Sebring,FL,Highlands,27.4676,-81.4581,"116,166.00","140,253.00","219,915.00",0.89,0.57
33876,Sebring,FL,Highlands,27.4287,-81.3519,"101,112.00","118,826.00","191,623.00",0.90,0.61
32958,Sebastian,FL,Indian River,27.7901,-80.4784,"124,625.00","182,587.00","270,167.00",1.17,0.48
32189,Satsuma,FL,Putnam,29.5594,-81.6406,"74,888.00","96,573.00","159,197.00",1.13,0.65
32937,Satellite Beach,FL,Brevard,28.178,-80.602,"181,189.00","285,911.00","416,300.00",1.30,0.46
34201,Bradenton,FL,Manatee,27.4047,-82.4705,"312,562.00","418,229.00","511,551.00",0.64,0.22
34231,Sarasota,FL,Sarasota,27.2666,-82.5163,"146,229.00","233,764.00","329,893.00",1.26,0.41
34232,Sarasota,FL,Sarasota,27.3262,-82.4724,"124,185.00","211,580.00","306,714.00",1.47,0.45
34233,Sarasota,FL,Sarasota,27.2866,-82.477,"155,997.00","239,444.00","322,717.00",1.07,0.35
34234,Sarasota,FL,Sarasota,27.3688,-82.5268,"86,456.00","141,321.00","227,376.00",1.63,0.61
34235,Sarasota,FL,Sarasota,27.3672,-82.4848,"137,550.00","208,255.00","283,557.00",1.06,0.36
